,Headlines
0,"Punjab: Heels dug in, Captain Amarinder Singh vs Navjot Singh Sidhu row may snowball into bigger storm"
1,"Amid leadership change buzz, Yediyurappa asks supporters not to indulge in protests that may embarrass BJP"
2,"CAA, NRC nothing to do with Hindu-Muslim divide: RSS chief"
3,How Yediyurappa is an exception to BJP rule
4,"Congress, Left that oppose BJP nationally shouldn't fight TMC in West Bengal: Partha Chatterjee"
5,Yeddyurappa may call MLAs' meet on July 26
6,"'We are not political tourists', Priyanka Gandhi hits back at BJP"
7,"Sonia Gandhi sets up parliament groups, Adhir Ranjan Chowdhury to stay as floor leader"
8,Sharad Pawar is 'remote control' of MVA govt: Maharashtra Congress chief
9,Is Prashant Kishor planning a new innings with the Congress?
10,BJP may move court against appointment of Mukul Roy as West Bengal house panel chief
11,BJP MLAs quit panels in protest as Mukul Roy gets PAC chief’s post
12,Will he agree to lead Congress in Lok Sabha? All eyes on Rahul Gandhi
13,"Navjot Sidhu’s AAP tweet stokes buzz, Prashant Kishor meets Rahul Gandhi"
14,VHP suggests deletion of one-child norm in draft UP population policy
15,Congress rallies opposition against ministry of cooperation
16,"Rahul, Priyanka slam BJP govt in UP over poll violence"
17,"With Uttar Pradesh polls in mind, BJP makes OBC-dalit outreach"
18,Cabinet reshuffle: Why PM Modi dropped these top 7 ministers
19,PM Modi expands his Cabinet: Full list of new Union ministers
20,"Congress offers olive branch to G23, to let netas retain key posts"
21,"No law and order in Bengal, violence at peak, says Dilip Ghosh"
22,Rahul Gandhi attacks govt on Rafale deal
23,Spotlight on Mamata Banerjee after Tirath Rawat resigns as Uttarakhand CM
24,'Remove solicitor general': TMC MPs petition PM Modi; law officer denies meeting BJP's Suvendu Adhikari
25,Trinamool Congress questions Bengal governor's silence over 'corruption' charges
26,Assam anti-CAA stir: Akhil Gogoi walks free as special NIA court clears him of all charges
27,"Educated unemployed people hold BJP, Cong govts responsible for their plight: Mayawati"
28,'Unfortunate': West Bengal governor responds to speaker's charge of 'interference'
29,"Amid infighting in Punjab Congress,  Navjot Sidhu meets Priyanka Gandhi"
30,2022 UP elections: Is opposition making BJP's task easier?
31,Shatrughan Sinha says pro-Modi tweet a 'humour'; not leaving Congress
32,Changing Kannada names to Malayalam: Yediyurappa writes to Pinarayi Vijayan; Kerala govt denies any such move
33,Congress not in favour of maintaining tie-up with ISF: Adhir Chowdhury
